seed,variant,perturbation,n,auc,eer,tpr5
1337,full_fusion,blur_s1,600,0.7638,0.30200000000000005,0.368
1337,full_fusion,downscale_4x,600,0.73134,0.33799999999999997,0.314
1337,full_fusion,jpeg_q10,600,0.70454,0.33799999999999997,0.252
1337,full_fusion,blur_s2,600,0.73154,0.35,0.3
1337,full_fusion,downscale_2x,600,0.76484,0.30000000000000004,0.368
1337,full_fusion,blur_s3,600,0.70248,0.358,0.226
1337,full_fusion,noise_s10,600,0.76122,0.31100000000000005,0.378
1337,full_fusion,jpeg_q30,600,0.7394,0.33899999999999997,0.378
1337,full_fusion,noise_s5,600,0.76176,0.30800000000000005,0.42
2024,backbone_only,noise_s20,600,0.73982,0.33899999999999997,0.36
2024,backbone_only,clean,600,0.773,0.31100000000000005,0.402
2024,backbone_only,jpeg_q50,600,0.7509,0.34199999999999997,0.372
2024,backbone_only,blur_s1,600,0.76008,0.31000000000000005,0.382
2024,backbone_only,downscale_4x,600,0.72714,0.35,0.33
2024,backbone_only,jpeg_q10,600,0.69524,0.368,0.252
2024,backbone_only,blur_s2,600,0.72608,0.35,0.34
2024,backbone_only,downscale_2x,600,0.76192,0.31000000000000005,0.376
2024,backbone_only,blur_s3,600,0.69636,0.36,0.278
2024,backbone_only,noise_s10,600,0.76072,0.32999999999999996,0.384
2024,backbone_only,jpeg_q30,600,0.73744,0.33999999999999997,0.362
2024,backbone_only,noise_s5,600,0.76096,0.31999999999999995,0.388
2024,backbone+rppg,noise_s20,600,0.74158,0.33999999999999997,0.348
2024,backbone+rppg,clean,600,0.77388,0.31000000000000005,0.406
2024,backbone+rppg,jpeg_q50,600,0.7527,0.33799999999999997,0.4
2024,backbone+rppg,blur_s1,600,0.76114,0.30200000000000005,0.372
2024,backbone+rppg,downscale_4x,600,0.72772,0.33999999999999997,0.334
2024,backbone+rppg,jpeg_q10,600,0.69744,0.37,0.256
